date,close,open,high,low
2004년 1월,110.89,105.9,114.27,105.63
2004년 2월,115.92,111.16,116.85,108.81
2004년 3월,115.98,117.22,119.64,107.87
2004년 4월,112.4,115.75,122.66,110.95
2004년 5월,104.14,112.47,114.2,92.63
2004년 6월,101.85,104.72,106.52,93.52
2004년 7월,95.27,101.68,102.81,92.62
2004년 8월,102.89,94.66,104.05,92.49
2004년 9월,107.69,102.83,111.26,102.67
2004년 10월,107.99,107.96,115.69,103.25
2004년 11월,113.4,107.69,115.38,107.53
2004년 12월,115.25,112.88,115.38,107.61
2005년 1월,121.06,115.65,121.21,112.07
2005년 2월,130.85,120.74,130.9,119.41
2005년 3월,124.78,131.21,132.22,122.51
2005년 4월,117.58,124.65,129.01,116.54
2005년 5월,124.84,118.29,125.12,117.2
2005년 6월,129.43,124.06,130.41,124
2005년 7월,143.32,128.8,143.53,128.56
2005년 8월,140.09,143.67,147.11,136.31
2005년 9월,157.55,141.45,159.97,141.22
2005년 10월,148.84,158.49,160.68,146.11
2005년 11월,165.95,149.9,166.53,149.83
2005년 12월,177.43,165.68,177.96,164.77
2006년 1월,180.65,177.79,183.02,166.62
2006년 2월,177.45,179.4,180.69,167.72
2006년 3월,176.21,178.3,178.4,167.39
2006년 4월,184.1,176.45,189.29,176.36
2006년 5월,171.01,184.13,190.2,168.28
2006년 6월,167.45,169.84,171.2,153.89
2006년 7월,168.51,167.34,171.12,159.34
2006년 8월,175.44,168.35,176.71,165.86
2006년 9월,178.05,175.73,178.99,171.71
2006년 10월,176.84,177.91,179.43,169.57
2006년 11월,184.96,177.76,185.41,176.37
2006년 12월,185.39,185.12,187.07,177.44
2007년 1월,175.99,186.02,186.15,173.58
2007년 2월,183.2,176.89,190.58,176.21
2007년 3월,187.6,181.87,188.58,177.61
2007년 4월,198.55,188.05,201.23,187.67
2007년 5월,216.45,199.76,216.67,199.09
2007년 6월,221.31,218.01,229.79,217.3
2007년 7월,244.32,220.88,255.38,220.13
2007년 8월,238.28,242.63,243.73,207.09
2007년 9월,247.2,238.64,247.73,228.41
2007년 10월,260.42,247.4,261.84,236.86
2007년 11월,241.91,263.06,263.91,222.51
